ID,number of incoming elements,duration of download (in ms),duration for reloading nodes (in ms),number of reloaded nodes,number of published elements for subject [all],number of published elements for subject [routing],duration for Filtering for subject [routing] (in ms),number of published elements for subject [search],duration for Filtering for subject [search] (in ms)
2022-03-03T18:35:59+01:00,2448,170,5852,4588,7036,2401,14,473,22
2022-03-03T18:36:57+01:00,4884,207,6635,3978,8862,1795,9,55,6
2022-03-03T18:37:53+01:00,1867,108,5422,2293,4160,864,5,64,3
2022-03-03T18:38:52+01:00,1988,113,7879,2227,4215,456,4,84,4
2022-03-03T18:39:47+01:00,1623,111,4078,633,2256,672,7,43,2
2022-03-03T18:40:52+01:00,6647,212,4750,1853,8500,3229,14,186,9
2022-03-03T18:41:49+01:00,1879,118,5355,1895,3774,1072,7,11,2
2022-03-03T18:43:03+01:00,1794,113,13095,2886,4680,1415,8,20,3
2022-03-03T18:43:47+01:00,3511,166,3348,5719,9230,1635,9,38,8
2022-03-03T18:44:53+01:00,2135,194,5062,2842,4977,1435,17,11,4
2022-03-03T18:45:46+01:00,2437,146,2912,3951,6388,2385,11,16,4
2022-03-03T18:47:00+01:00,1341,85,13204,1228,2569,905,6,170,4
2022-03-03T18:47:45+01:00,2093,138,3709,4359,6452,943,6,54,5
2022-03-03T18:48:52+01:00,3915,207,6008,3301,7216,4698,21,6,6
2022-03-03T18:49:56+01:00,2263,137,3090,4348,6611,1265,10,58,5
2022-03-03T18:51:07+01:00,2905,163,10794,2939,5844,1180,9,524,20
2022-03-03T18:52:01+01:00,3098,167,3159,2941,6039,4836,25,78,7
2022-03-03T18:53:07+01:00,1303,87,5118,687,1990,852,3,19,1
2022-03-03T18:54:06+01:00,1717,125,7816,3879,5596,1749,10,21,4
2022-03-03T18:54:59+01:00,1165,84,2032,994,2159,641,5,80,3
2022-03-03T18:56:04+01:00,2178,141,4031,3066,5244,1240,8,212,8
2022-03-03T18:57:10+01:00,2149,165,5698,2169,4318,2140,13,89,5
2022-03-03T18:58:04+01:00,1227,85,2920,776,2003,569,4,27,3
2022-03-03T18:59:16+01:00,3184,363,11186,39087,42271,2614,19,369,33
2022-03-03T19:00:17+01:00,2708,167,10420,3665,6373,3145,16,20,3
2022-03-03T19:01:07+01:00,2293,152,9213,2622,4915,868,12,69,4
2022-03-03T19:02:04+01:00,899,78,5957,1090,1989,1047,8,33,2
2022-03-03T19:03:11+01:00,2170,108,5785,2075,4245,2251,11,83,5
2022-03-03T19:04:02+01:00,1391,89,208,0,1391,225,4,23,0
2022-03-03T19:05:10+01:00,4148,143,8040,2078,6226,2201,10,42,5
2022-03-03T19:06:07+01:00,1379,101,5441,3297,4676,1880,10,66,3
2022-03-03T19:07:25+01:00,648,78,17501,2483,3131,1252,7,5,2
2022-03-03T19:08:11+01:00,1130,98,5428,3173,4303,2075,11,13,3
2022-03-03T19:09:16+01:00,1018,96,3938,4902,5920,1973,10,27,4
2022-03-03T19:10:29+01:00,3594,153,22359,2112,5706,1335,9,278,7
2022-03-03T19:11:17+01:00,582,69,7443,407,989,324,6,46,0
2022-03-03T19:12:28+01:00,503,79,19993,838,1341,598,10,79,2
2022-03-03T19:13:14+01:00,971,65,5484,485,1456,583,5,51,1
